address/city,address/state,address/streetAddress,address/subdivision,address/zipcode,bathrooms,bedrooms,currency,homeStatus,livingArea,price,yearBuilt
Princeton,NJ,79 Erdman Ave,,8540,3,3,USD,RECENTLY_SOLD,2488,925000,1950
Princeton,NJ,Washington Rd,,8540,,,USD,SOLD,,430000,
Princeton,NJ,27 Woods Way,,8540,3,4,USD,RECENTLY_SOLD,2728,745000,1969
Princeton,NJ,605 State Rd,,8540,5,4,USD,RECENTLY_SOLD,,739999,1990
Princeton,NJ,301 Ridgeview Rd,,8540,3,4,USD,RECENTLY_SOLD,2874,875000,1967
Princeton,NJ,108-110 Linden Ln,,8540,2,3,USD,RECENTLY_SOLD,930,1175000,1930
Princeton,NJ,337 S Harrison St,,8540,,,USD,SOLD,1462,520026,1957
Princeton,NJ,861 Mount Lucas Rd,,8540,2,2,USD,RECENTLY_SOLD,1260,470000,1955
Princeton,NJ,71 Quaker Rd,,8540,2,3,USD,RECENTLY_SOLD,,680000,1950
Princeton,NJ,53 Gordon Way,,8540,3,3,USD,RECENTLY_SOLD,2657,669000,1973
Princeton,NJ,10 Maidenhead Rd,,8540,3,4,USD,RECENTLY_SOLD,2932,999999,2000
Princeton,NJ,1267 Stuart Rd,,8540,5,5,USD,RECENTLY_SOLD,5400,1850000,2019
Princeton,NJ,92 Clover Ln,,8540,3,4,USD,RECENTLY_SOLD,2408,1315000,1955
Princeton,NJ,59 Maidenhead Rd,,8540,4,3,USD,RECENTLY_SOLD,2364,771000,2000
Princeton,NJ,36 Mercer St,,8540,4,5,USD,SOLD,,1795000,1890
Princeton,NJ,251 Bouvant Dr,,8540,6,5,USD,RECENTLY_SOLD,7085,1900000,1989
